Timestep,Distance (Å)
0,37.99936940266246
100,37.49677682283638
200,37.26964833368971
300,37.15621256920705
400,37.06988040493792
500,36.997109400714
600,36.939805459055954
700,36.89437561509342
800,36.85071618014499
900,36.804298062313315
1000,36.77087331312788
1100,36.7564596211387
1200,36.739958293792334
1300,36.72159550635702
1400,36.701129999693464
1500,36.678755365012044
1600,36.65424080266293
1700,36.62788884628214
1800,36.599520633232345
1900,36.56935136449647
2000,36.537176481830116
2100,36.50308887691013
2200,36.4672590918059
2300,36.4296597088087
2400,36.39052874543183
2500,36.35037446076175
2600,36.30923961320176
2700,36.26718227019573
2800,36.22500864972844
2900,36.183375940098514
3000,36.14150514694152
3100,36.09885481375275
3200,36.05443169972452
3300,36.008074263316274
3400,35.960240205990004
3500,35.91044756881346
3600,35.858398243836824
3700,35.80347845738455
3800,35.746040562982635
3900,35.68654295756455
4000,35.62499859059647
4100,35.561841580020854
4200,35.5003516786299
4300,35.43871509267795
4400,35.37533181318446
4500,35.310503589844195
4600,35.24574864241218
4700,35.18057147779723
4800,35.113303366047745
4900,35.044238521618645
5000,34.972591248612105
5100,34.89764251349366
5200,34.82037923006583
5300,34.740715764970936
5400,34.65665436448821
5500,34.56795576816193
5600,34.4761618506991
5700,34.38194241281461
5800,34.28626954754483
5900,34.192616722884786
6000,34.10170002576997
6100,34.00569247632078
6200,33.903415048640746
6300,33.7957930599668
6400,33.68614363642861
6500,33.5814052874876
6600,33.49155952055533
6700,33.40988749816437
6800,33.32586658786835
6900,33.237401004364045
7000,33.14334133370382
7100,33.042961977304635
7200,32.935964095067874
7300,32.8211542714893
7400,32.69924372498698
7500,32.57136835367682
7600,32.43895468883669
7700,32.302858335138076
7800,32.16289663873731
7900,32.018829578329374
8000,31.87069381573611
8100,31.719056064550536
8200,31.564146830503752
8300,31.405913187629174
8400,31.24508277886938
8500,31.081302049304497
8600,30.913844307436115
8700,30.74258795182345
8800,30.567737109555555
8900,30.38952135395522
9000,30.208711487125694
9100,30.025567835623026
9200,29.840253001777647
9300,29.65392644271581
9400,29.468900903114793
9500,29.282219535788265
9600,29.093236358860107
9700,28.903857994392375
9800,28.714927309719936
9900,28.525719489732417
10000,28.337103933932628
10100,28.153695984960837
10200,27.984737512179745
10300,27.835125320517236
10400,27.69672433002863
10500,27.562572597928884
10600,27.428778678914966
10700,27.29487670026007
10800,27.15994748140173
10900,27.024780709748597
11000,26.889005244151374
11100,26.750466171311857
11200,26.60928537752376
11300,26.4665622888221
11400,26.3217252878473
11500,26.174015316179517
11600,26.022663676512828
11700,25.866960793065736
11800,25.706906334424996
11900,25.54194933351016
12000,25.371364027194126
12100,25.19451544925006
12200,25.0124096164304
12300,24.824832459205037
12400,24.631203354974353
12500,24.43212350694061
12600,24.229444423199222
12700,24.026390943577024
12800,23.824237848923943
12900,23.620871495863568
13000,23.417829581045723
13100,23.225077230444253
13200,23.058650198925346
13300,22.923112071147756
13400,22.80162064284028
13500,22.678268318423257
13600,22.544528444438576
13700,22.39865762769947
13800,22.241202287873293
13900,22.07313329527324
14000,21.895296243476587
14100,21.70835748376417
14200,21.512193231086407
14300,21.305510690431706
14400,21.090597210899457
14500,20.870013506981735
14600,20.647732745616405
14700,20.430879633606086
14800,20.231378796868988
14900,20.057954849139033
15000,19.89485120898369
15100,19.741078694643306
15200,19.59897058088511
15300,19.457302531926157
15400,19.311345095015238
15500,19.16348256138808
15600,19.01928041343352
15700,18.885825736974702
15800,18.762571207130012
15900,18.645848993170034
16000,18.5311329138833
16100,18.41404852799905
16200,18.293006816530625
16300,18.174873914987387
16400,18.071792184750354
16500,17.968193370427898
16600,17.85432992009571
16700,17.72048271348622
16800,17.577694012677576
16900,17.43066310561936
17000,17.277857663476947
17100,17.1232608706127
17200,16.973332397176932
17300,16.831099486344467
17400,16.711653446348866
17500,16.62397429612573
17600,16.565165988201144
17700,16.5153375909348
17800,16.4543687771184
